vendor_name,vendor_url,vendor_hg_url,vendor_company_count,vendor_six_month_change,vendor_product_count,products_of_vendor,product_url
"Visualutions, Inc.",visualutions.com,https://discovery.hgdata.com/collection/visualutions-inc-products-services,66,-,3,Visualutions,https://discovery.hgdata.com/product/visualutions
"Visualutions, Inc.",visualutions.com,https://discovery.hgdata.com/collection/visualutions-inc-products-services,66,-,3,Visualutions VisDental,https://discovery.hgdata.com/product/visualutions-visdental
"Visualutions, Inc.",visualutions.com,https://discovery.hgdata.com/collection/visualutions-inc-products-services,66,-,3,Visualutions VisDoc,https://discovery.hgdata.com/product/visualutions-visdoc
AVL List GmbH,avl.com,https://discovery.hgdata.com/collection/avl-list-gmbh-products-services,150,-,1,AVL EXCITE,https://discovery.hgdata.com/product/avl-excite
"Avalara, Inc.",avalara.com,https://discovery.hgdata.com/collection/avalara-inc-products-services,"4,869",-,2,Avalara,https://discovery.hgdata.com/product/avalara
"Avalara, Inc.",avalara.com,https://discovery.hgdata.com/collection/avalara-inc-products-services,"4,869",-,2,Avalara CertCapture,https://discovery.hgdata.com/product/avalara-certcapture
"Mango, Ltd.",mangolive.com,https://discovery.hgdata.com/collection/mango-ltd-products-services,86,-,1,Mango,https://discovery.hgdata.com/product/mango
GE Power,ge.com/power,https://discovery.hgdata.com/collection/ge-power-products-services,100,-,1,GE PowerOn Advantage,https://discovery.hgdata.com/product/ge-poweron-advantage
"Schoology, Inc.",schoology.com,https://discovery.hgdata.com/collection/schoology-inc-products-services,"1,931",-,1,Schoology,https://discovery.hgdata.com/product/schoology
"OnTheGoSystems, Ltd.",onthegosystems.com,https://discovery.hgdata.com/collection/onthegosystems-ltd-products-services,"6,800",-,1,WPML,https://discovery.hgdata.com/product/wpml
"Ticketleap, Inc.",ticketleap.com,https://discovery.hgdata.com/collection/ticketleap-inc-products-services,350,-,1,Ticketleap,https://discovery.hgdata.com/product/ticketleap
"Zignal Labs, Inc.",zignallabs.com,https://discovery.hgdata.com/collection/zignal-labs-inc-products-services,46,-,1,Zignal Labs,https://discovery.hgdata.com/product/zignal-labs
Times Software Pte Ltd,timesoftsg.com.sg,https://discovery.hgdata.com/collection/times-software-pte-ltd-products-services,419,-,1,Times Software,https://discovery.hgdata.com/product/times-software
University of Massachusetts Amherst,umass.edu,https://discovery.hgdata.com/collection/university-of-massachusetts-amherst-products-services,449,-,1,Mallet,https://discovery.hgdata.com/product/mallet
Ameyo Pvt Ltd,ameyo.com,https://discovery.hgdata.com/collection/ameyo-pvt-ltd-products-services,173,-,1,Ameyo,https://discovery.hgdata.com/product/ameyo
"TripActions, Inc.",tripactions.com,https://discovery.hgdata.com/collection/tripactions-inc-products-services,354,-,1,TripActions,https://discovery.hgdata.com/product/tripactions
"Wodify Technologies, Ltd.",wodify.com,https://discovery.hgdata.com/collection/wodify-technologies-ltd-products-services,168,-,1,Wodify (Unspecified Product),https://discovery.hgdata.com/product/wodify-unspecified-product
"RecoveryPlanner.com, Inc.",recoveryplanner.com,https://discovery.hgdata.com/collection/recoveryplanner-com-inc-products-services,66,-,1,RecoveryPlanner,https://discovery.hgdata.com/product/recoveryplanner
