vendor_name,vendor_url,vendor_hg_url,vendor_company_count,vendor_six_month_change,vendor_product_count
3M Company,3m.com,https://discovery.hgdata.com/collection/3m-company-products-services,"3,369",-,30
"8x8, Inc.",8x8.com,https://discovery.hgdata.com/collection/8x8-inc-products-services,"2,293",-,4
"Inline Manual, Ltd.",inlinemanual.com,https://discovery.hgdata.com/collection/inline-manual-ltd-products-services,48,-,1
LogicalDOC,logicaldoc.com,https://discovery.hgdata.com/collection/logicaldoc-products-services,57,-,1
Speechmatics,speechmatics.com,https://discovery.hgdata.com/collection/speechmatics-products-services,34,-,1
SecuGen Corporation,secugen.com,https://discovery.hgdata.com/collection/secugen-corporation-products-services,77,-,1
DBxtra,dbxtra.com,https://discovery.hgdata.com/collection/dbxtra-products-services,56,-,1
Nowcom Corporation,nowcom.com,https://discovery.hgdata.com/collection/nowcom-corporation-products-services,78,-,1
"Talkable, Inc.",talkable.com,https://discovery.hgdata.com/collection/talkable-inc-products-services,86,-,1
"WorkMarket, Inc.",workmarket.com,https://discovery.hgdata.com/collection/workmarket-inc-products-services,228,-,2
"Greystar Worldwide, LLC",greystar.com,https://discovery.hgdata.com/collection/greystar-worldwide-llc-products-services,44,-,1
"NetEnrich, Inc.",netenrich.com,https://discovery.hgdata.com/collection/netenrich-inc-products-services,48,-,1
"Ab Initio Software, LLC",abinitio.com,https://discovery.hgdata.com/collection/ab-initio-software-llc-products-services,"6,677",-,14
"Digital Shadows, Ltd.",digitalshadows.com,https://discovery.hgdata.com/collection/digital-shadows-ltd-products-services,70,-,1
Cougar Mountain Software Network,cougarmtn.com,https://discovery.hgdata.com/collection/cougar-mountain-software-network-products-services,42,-,1
"Starburst Data, Inc.",starburst.io,https://discovery.hgdata.com/collection/starburst-data-inc-products-services,43,-,1
"Optum, Inc.",optum.com,https://discovery.hgdata.com/collection/optum-inc-products-services,"2,286",-,13
AbacusNext,abacusnext.com,https://discovery.hgdata.com/collection/abacusnext-products-services,"2,763",-,3
"ABB, Ltd.",global.abb,https://discovery.hgdata.com/collection/abb-ltd-products-services,"10,297",-,7
Telecommunication Software GmbH,telecomsoftware.com,https://discovery.hgdata.com/collection/telecommunication-software-gmbh-products-services,50,-,1
"Ebix, Inc.",ebix.com,https://discovery.hgdata.com/collection/ebix-inc-products-services,454,-,4
"APEX Analytix, LLC",apexanalytix.com,https://discovery.hgdata.com/collection/apex-analytix-llc-products-services,141,-,2
